순번,법무법인명,주소
174,테스트인가,서울특별시 마포구 마포나루길 11
175,법무법인원율,울산광역시 남구 법대로 91 (옥동) 1-2층(옥동)
176,법무법인나우,서울특별시 서초구 서초동 1597의6대하빌딩5층
177,법무법인담소,서울특별시 서초구 서초동 1573의10로이어즈빌딩903호
178,법무법인우덕,"울산광역시 남구 옥동 590의9예스빌딩401, 501호"
179,법무법인진명,서울특별시 서초구 서초동 1694의22서전빌딩401호
180,법무법인강호,서울특별시 서초구 서초동 1550의11센트라빌딩4층
181,법무법인호성,경기도 수원시 영통구 원천동 66의5청우빌딩2층
182,법무법인중부,충청남도 천안시 동남구 신부동 75의1중앙빌딩302호
183,법무법인준경,서울특별시 서초구 서초동 1713의1한승아스트라2빌딩507호
184,법무법인이래,서울특별시 서초구 서초동 1691의16 동신빌딩3층
185,법무법인리안,서울특별시 서초구 반포동 51의7해성빌딩2층
186,법무법인지석,서울특별시 강남구 논현동 239의1 유경빌딩7층
187,법무법인우송,"서울특별시 서초구 서초동 1703의6춘광빌딩1,2층"
188,법무법인지산,광주광역시 서구 치평동 1310-22
189,법무법인세연,서울특별시 서초구 서초동 1713의4 길도빌딩306호
190,법무법인로텍,서울특별시 서초구 서초동 1329의4 우남빌딩3층
191,법무법인지음,서울특별시 서초구 서초동 1574의11우진빌딩2층
192,법무법인골드,서울특별시 서초구 서초동 1573의10로이어즈타워1108호
193,법무법인화현,서울특별시 서초구 반포동 51의7베르디타워3층
194,법무법인승재,서울특별시 서초구 서초동 1716의7 승보빌딩5층502호
195,법무법인로앤,서울특별시 서초구 서초동 1572의18
196,법무법인둘로스,인천광역시 남구 학익동 272의5현준솔로몬빌딩401호
197,법무법인미르,"서울특별시 서초구 서초동 1573의10로이어즈타워602,606호"
198,법무법인율전,서울특별시 서초구 서초동 1571의14
199,법무법인신화,서울특별시 서초구 서초동 1572의18한국아이비에스빌딩4층
200,법무법인다담,서울특별시 서초구 서초동 1685의10한울빌딩5층
201,공증인가제주합동법률사무소,제주특별자치도 제주시 이도2동 1026 4층
202,법무법인케이앤씨,서울특별시 강남구 역삼동 737 강남파이낸스센터23층
203,법무법인대화,서울특별시 서초구 반포동 66의1코웰빌딩9층
204,법무법인신아,서울특별시 서초구 서초동 1338의23클리포드빌딩2층
205,법무법인세아,서울특별시 서초구 서초동 1702의10 명광빌딩2층
206,법무법인좋은,부산광역시 연제구 거제동 1492의1세종빌딩8층
207,법무법인(유한)정평,서울특별시 서초구 서초동 1656-2 일광빌딩 7층
208,법무법인삼일,대구광역시 달서구 용산동 230-21 법조빌딩 309호
209,법무법인경복,"서울특별시 서초구 반포대로30길 47 (서초동, 행림빌딩) 5층, 102호 (서초동, 행림빌딩)"
210,서울종합법무법인,"서울특별시 서초구 서초대로 302 (서초동, 교대역인앤인오피스) 2층"
211,법무법인정건,"서울특별시 서초구 서초중앙로26길 10 (서초동, 청향빌딩) 4층"
212,법무법인다온,"서울특별시 서초구 서초동 1698-13 동우빌딩 2, 3 층"
213,법무법인신세기,"서울특별시 서초구 서초대로 265 (서초동, 대신빌딩) 102호"
214,법무법인한미,"서울특별시 종로구 종로3길 38 (청진동, 진학회관) 403호"
215,법무법인지평지성,서울특별시 중구 남대문로4가 상공회의소회관 11층
216,내외법무법인,경상남도 창원시 사파동 124-6
217,법무법인대경종합법률사무소,"대구광역시 수성구 범어동 13-4 태윤빌딩 3,4 층"
218,법무법인새대구,대구광역시 수성구 범어동 31-9 삼일빌딩 3층
219,법무법인유비즈,서울특별시 강남구 역삼동 648의18부옥빌딩11층
220,법무법인하늘,부산광역시 연제구 거제동 1490의1부산법조타운607호
221,법무법인로비즈,경기도 안산시 단원구 고잔동 710중앙법조빌딩503호
222,(대행청)정읍지청,전라북도 정읍시 수성동 수성6로 29
223,법무법인가야종합법률사무소,대구광역시 수성구 범어동 33-16번지
224,법무법인대유,서울특별시 서초구 서초동 1692-3 재영빌딩 3층
225,법무법인네이버스,"서울특별시 종로구 종로3길 34 (청진동, 삼송빌딩) 501, 701호"
226,법무법인광주로펌,광주광역시 서구 치평동 1208 골든빌오피스텔 102호
227,무등합동법률사무소,광주광역시 동구 대의동 13-2
228,공증인가광주제일합동법률사무소,광주광역시 동구 대인동 156 추선장학회관 3층
229,법무법인다래,서울특별시 강남구 역삼동 647의9한국지식재산센터10층
230,법무법인세중,서울특별시 서초구 서초동 1713의4길도빌딩303호
231,법무법인바른길서울,서울특별시 서초구 서초동 1715의10 남촌빌딩4층
232,법무법인윤,경기도 안양시 동안구 관양동 1595의1동우베스티움타워205호
233,법무법인새빌,서울특별시 서초구 서초3동 1552의1 대영빌딩5층
234,(대행청)논산지청,충청남도 논산시 강경읍 대흥리 46-1
235,법무법인자유로,경기도 고양시 일산동구 장항동 891-3 이지로빌딩 5층
236,법무법인탐라,제주특별자치도 제주시 이도2동 1080-1
237,법무법인혜민,"서울특별시 서초구 반포대로 110 (서초동, 산우빌딩) 6층"
238,천마법무법인,대구광역시 수성구 동대구로 367 (범어동) 서현빌딩 1층
239,법무법인(유한)한결,"서울특별시 종로구 종로 1 (종로1가, 교보생명) 9층"
240,법무법인네모,서울특별시 중구 을지로6가 기승개발빌딩 10층
241,배영철사무소,"인천광역시 부평구 부평대로 6 (부평동, 대신스카이프라자) 3층"
242,법무법인봄,"서울특별시 강남구 강남대로 340 (역삼동, 경원빌딩) 11층"
243,법무법인양재,"서울특별시 강남구 테헤란로 423 (삼성동, 현대타워) 8층"
244,법무법인정세,"서울특별시 서초구 서초대로 254 (서초동, 오퓨런스) 15층"
245,법무법인인화,"서울특별시 서초구 서초중앙로 116 (서초동, 성재빌딩) 6층"
246,법무법인홍윤,서울특별시 서초구 서초동 1719-4 양진빌딩 2층
247,법무법인로컴,광주광역시 동구 지산동 708-33 로컴빌딩 1층
248,광주합동법률사무소,광주광역시 동구 금남로3가 가톨릭센터 307호
249,공증인가광일합동법률사무소,광주광역시 동구 금남로3가 3-7 금남빌딩 2층
250,법무법인우암,서울특별시 구로구 구로동 82 도진빌딩 2층
251,법무법인로직,서울특별시 마포구 마포대로10길 109    마포 롯데캐슬 101동 1001호
252,법무법인지인,서울특별시 도봉구 도봉동 9247 청화빌딩 2층
253,법무법인치악종합법률사무소,강원도 원주시 무실새골길 12
254,동수원종합법무법인,경기도 수원시 영통구 원천동 83-23 승전빌딩 4층
255,법무법인지안,서울특별시 서초구 서초동 1303-22 교보타워 A동 4층
256,법무법인송현,"서울특별시 서초구 서초대로 278 (서초동, 금화빌딩) 7층"
257,동방종합법무법인,"서울특별시 중구 퇴계로 187 (필동1가, 국제빌딩) 3층 (필동, 국제빌동)"
258,경남법무법인,경상남도 창원시 사파동 124-1
259,법무법인호남종합법률사무소,전라북도 전주시 덕진구 덕진동1가 1407-1 동승빌딩 2층
260,한글,전라북도 익산시 주현동 121-5
261,법무법인신우,서울특별시 강남구 논현동 115의7미성빌딩5층
262,법무법인명문,인천광역시 남구 학익동 240의1 명인빌딩303호
263,법무법인태일,"서울특별시 서초구 법원로3길 25 (서초동, 태흥빌딩) 5층"
264,법무법인서호,서울특별시 용산구 한강로2가 석우빌딩 302호
265,서원법무법인,충청북도 청주시 서원구 원흥로 84 (산남동) 84
266,법무법인화인,"서울특별시 서초구 서초대로 280 (서초동, 태양빌딩) 5층"
267,법무법인우면,"서울특별시 서초구 효령로 304 (서초동, 국제전자센터) 10층"
268,법무법인새한양,"서울특별시 서초구 법원로 15 (서초동, 정곡빌딩) 306호"
